CMD INDEX,Type,Argument,Resp,Abbreviation,Command Description
CMD28,ac,"[31:0] data address1",R1b,SET_WRITE_PROT,"If CLASS_6_CTRL=0x00: If the Device has write protection features, this command sets the write protection bit of the addressed group. The properties of write protection are coded in the Device specific data (WP_GRP_SIZE or HC_WP_GRP_SIZE). If CLASS_6_CTRL=0x01: This command releases the specified addressed group."
CMD29,ac,"[31:0] data address1",R1b,CLR_WRITE_PROT,"If CLASS_6_CTRL=0x00: If the Device provides write protection features, this command clears the write protection bit of the addressed group. If CLASS_6_CTRL=0x01: This command is ignored."
CMD30,adtc,"[31:0] write protect data address",R1,SEND_WRITE_PROT,"If CLASS_6_CTRL=0x00: If the Device provides write protection features, this command asks the Device to send the status of the write protection bits. If CLASS_6_CTRL=0x01: This command asks the device to send the status of released groups. A bit '0' means the specific group is valid and accessible, a bit '1' means the specific group was released and it cannot be used."
CMD31,adtc,"[31:0] write protect data address",R1,SEND_WRITE_PROT_TYPE,"If CLASS_6_CTRL=0x00: This command sends the type of write protection that is set for the different write protection groups. If CLASS_6_CTRL=0x01: This command returns a fixed pattern of 64-bit zeros in its payload."
