Parameter,Symbol,Min,Max.,Unit,Conditions
Output HIGH voltage,VOH,0.75 * VCCQ,,V,IOH = -100 µA @ VCCQ min
Output LOW voltage,VOL,,0.125 * VCCQ,V,IOL = 100 µA @ VCCQ min
Input HIGH voltage,VIH,0.625 * VCCQ,VCCQ + 0.3,V,
Input LOW voltage,VIL,VSS - 0.3,0.25 * VCCQ,V,
