Parameter,Definition,Unit - 512 B Native Sector,Unit - 4 KB Native Sector Emulation,Unit - 4 KB Native Sector Disable Emulation,Granularity - 512 B Native Sector,Granularity - 4 KB Native Sector Emulation,Granularity - 4 KB Native Sector Disable Emulation
"General purpose partition size","(GP_SIZE_MULT_X_2·2^16+ GP_SIZE_MULT_X_1·2^8+ GP_SIZE_MULT_X_0·2^0) ·HC_WP_GRP_SIZE ·HC_ERASE_GRP_SIZE ·512KB",512 KB,512KB,,512KB,512KB,
"Enhanced user data area size","(ENH_SIZE_MULT_2·2^16+ ENH_SIZE_MULT_1·2^8+ ENH_SIZE_MULT_0·2^0) ·HC_WP_GRP_SIZE ·HC_ERASE_GRP_SIZE ·512KB",512KB,512KB,,512KB,512KB,
