Bit 7,Bit 6,Bit 5,Bit 4,Bit 3,Bit 2,Bit 1,Bit 0
,,,ENH_SIZE_MULT_2,,,,
,,,ENH_SIZE_MULT_1,,,,
,,,ENH_SIZE_MULT_0,,,,
