CMD INDEX,Type,Argument,Resp,Abbreviation,Command Description
"CMD23 (default)",ac,"[31] Reliable Write Request [30] '0' non- packed [29] tag request [28:25] context ID [24]: forced programming [23:16] set to 0 [15:0] number of blocks",R1,SET_BLOCK_COUN T,"non-packed command version. Defines the number of blocks (read/write) and the reliable writer parameter (write) for a block read or write command. (See Section 6.6.9 and Section 6.6.10) May contain a tag request (see section 6.6.28) or a context ID (see section 6.6.27). Tag and Context ID cannot be used together in the same command, if one is used the other must be set to zero. The context ID is an identifier (0 to 15) that associates the read/write command with the specific context. When bit 24 is set to 1, forced programming enabled, data shall be forcefully programmed to non-volatile storage instead of volatile cache while cache is turned ON."
"CMD23 (packed)",ac,"[31] set to 0 [30] '1' packed [29:16] set to 0 [15:0] number of blocks",R1,SET_BLOCK_COUNT,"packed command version. Defines the number of blocks (read/write) for the following packed write command or for the header of the following packed read command. (See Section 6.6.27.1). For packed write commands, the number of blocks should include the total number of blocks all packed commands plus one for the header block. For packed read commands, the number of blocks should equal one as only the header is sent inside the following CMD25. After that, a separate normal read command is sent to get the packed data."
CMD24,adtc,[31:0] data address1,R1,WRITE_BLOCK,Writes a block of the size selected by the SET_BLOCKLEN command.2
CMD25,adtc,[31:0] data address1,R1,WRITE_MULTIPLE_BLOCK,"Continuously writes blocks of data until a STOP_TRANSMISSION follows or the requested number of block received. If sent as a packed command (either packed write, or the header of packed read) the argument shall contain the first read/write data address in the pack (address of first individual command inside the pack). (See Section 6.6.27.1)"
CMD26,adtc,[31:0] stuff bits,R1,PROGRAM_CID,"Programming of the Device identification register. This command shall be issued only once. The Device contains hardware to prevent this operation after the first programming. Normally this command is reserved for the manufacturer."
