Bit 7,Bit 6,Bit 5,Bit 4,Bit 3,Bit 2,Bit 1,Bit 0
,,,GP_SIZE_MULT_X_2,,,,
,,,GP_SIZE_MULT_X_1,,,,
,,,GP_SIZE_MULT_X_0,,,,
