Bit,Access,Field Name,Description
reg_presetvalue_0,0x0060,Preset value for Initialization,3.3 V
reg_presetvalue_1,0x0062,Preset value for Default speed,3.3 V
reg_presetvalue_2,0x0064,Preset value for High speed,3.3 V
reg_presetvalue_3,0x0066,Reserved,
reg_presetvalue_4,0x0068,Reserved,
reg_presetvalue_5,0x006A,Reserved,
