Field,Description
"1:3 SDMA_BUFBOUNDARY","Host SDMA buffer size. To perform long DMA transfer, System address register is updated at every system boundary during DMA transfer. These bits specify the size of contiguous buffer in the system memory. The DMA transfer waits at the every boundary specified by these fields and the HC generates the DMA Interrupt to request the HD to update the System address register. These bits support when the DMA support in the Capabilities register is set to 1 and this function is active when the DMA enable in the Transfer mode register is set to 1. 000 4 Kbytes (Detects A11 Carry out) 001 8 Kbytes (Detects A12 Carry out) 010 16 Kbytes (Detects A13 Carry out) 011 32 Kbytes (Detects A14 Carry out) 100 64 Kbytes (Detects A15 Carry out) 101 128 Kbytes (Detects A16 Carry out) 110 256 Kbytes (Detects A17 Carry out) 111 512 Kbytes (Detects A18 Carry out)"
"4:15 XFER_BLOCKSIZE","Transfer block size. This register field specifies the block size for block data transfers for CMD17, CMD18, CMD24, CMD25, and CMD53. It can be accessed only if no transaction is executing (that is after a transaction has stopped). Read operations during transfer return an invalid value and Write operations are ignored. 0x0000 No data transfer 0x0001 1 Byte 0x0002 2 Bytes 0x0003 3 Bytes 0x0004 4 Bytes ... 0x01FF 511 Bytes 0x0200 512 Bytes"
