Step,Description
8,"Write 1 to the Command Complete in the Normal interrupt status register for clearing this bit. Read Response register and get necessary information in accordance with the issued command. DMA read transfer: On receiving the response will tell from the card for the write command (data flowing from card to host) the host controller will start reading a block of data from the system memory. After receiving the grant the host controller will start reading a block of data from the system memory with the first FFC. Whenever a block of data is ready the transmitter will start sending the data to the card. While transferring the data to the card the host controller requests the bus to fill the second block in second FIFO. Ping-pong FIFOs are used to maximize the throughput. Similarly the host controller reads a block of data from the system memory whenever a FIFO is empty. This will continue till all the blocks are read from the system memory. Transfer Complete Interrupt will be set only after transferring all the blocks to the card."
9,"DMA write transfer: The block of data received from the card (data flowing from card to host) is sent to the system memory. While transferring the data to the system memory the host controller will just request the System/AHB bus. After receiving the grant the host controller will start writing a block of data to the system memory with the first FFC. While transferring the data into system memory the host controller will receive the second block of data and store it in second FIFO. Similarly the host controller writes a block of data to the system memory whenever a FIFO is full. This will continue till all the blocks are transferred to the system memory. Transfer Complete Interrupt will be set only after transferring all the blocks of data to the system memory. Note: Host controller will receive a block of data from the card only when it has room to store a block of data in FIFO. When both the FIFOs are full the host controller will suspend the data transfer from the card by stopping the generation of card clock(s). Read Wait or through block stopping"
10,Wait for the Transfer Complete Interrupt and DMA Interrupt.
11,"If Transfer Complete is set 1, go to Step(14) else if DMA Interrupt is set to 1, go to Step(12). Transfer Complete is higher priority than DMA Interrupt."
12,Write 1 to the DMA Interrupt in the Normal interrupt status register to clear this bit.
13,"Set the next system address of the next data address in the System address register and go to Step (10)."
14,"Write 1 to the Transfer Complete and DMA Interrupt in the Normal interrupt status register to clear this bit."
