Field,Description
"30 PRESENTSTATE_INHIBITDAT","Command inhibit (DAT). This status bit is generated if either the DAT line active or the read transfer active is set to 1. If this bit is 0, it indicates the HC can issue the next command. Commands with busy signal belong to Command inhibit (DAT) (ex. R1b, R5b type). Changing from 1 to 0 generates a Transfer Complete Interrupt in the Normal interrupt status register. Note: The host driver can save registers in the range of 0x000-0x00D for a Suspend transaction after this bit has changed from 1 to 0. 1: Cannot issue command which uses the DAT line 0: Can issue command which uses the DAT line. Note: This bit is read only bit and initialized to zero at reset."
"31 PRESENTSTATE_INHIBITCMD","Command inhibit (CMD). If this bit is 0, it indicates the CMD line is not in use and the HC can issue a command using the CMD line. This bit is set immediately after the Command register (0x00F) is written. This bit is cleared when the command response is received. Even if the Command inhibit (DAT) is set to 1, commands using only the CMD line can be issued if this bit is 0. Changing from 1 to 0 generates a Command Complete Interrupt in the Normal interrupt status register. If the HC cannot issue the command because of a command conflict error or because of command not issued by Auto CMD12 error, this bit remains 1 and the Command Complete is not set. Status issuing Auto CMD12 is not read from this bit. Auto CMD12 and Auto CMD23 consist of two responses. In this case, this bit is not cleared by the response of CMD12 or CMD23 but cleared by the response of a read/write command. Status issuing Auto CMD12 is not read from this bit. So if a command is issued during Auto CMD12 operation, host controller manages to issue two commands: CMD12 and a command set by Command register. Note: This bit is read only bit and initialized to zero at reset."
