Field,Description
"8
AUTOCMDERRSTS_NEXTERROR","Command not issued by Auto CMD12 error
Setting this bit to 1 means CMD_wo_DAT is not executed due to an Auto CMD12 error (D04- D01) in this register.
This bit is set to 0 when Auto CMD error is generated by Auto CMD23.
0 No error
1 Not issued"
"11
AUTOCMDERRSTS_INDEXERROR","Auto CMD index error
Occurs if the command index error occurs in response to a command.
0 No error
1 Error"
"12
AUTOCMDERRSTS_ENDBITERROR","Auto CMD end bit error
Occurs when detecting that the end bit of command response is 0.
0 No error
1 End bit error generated"
"13
AUTOCMDERRSTS_CRCERROR","Auto CMD CRC error
Occurs when detecting a CRC error in the command response.
0 No error
1 CRC error generated"
