Field,Description
"2:7 COMMAND_CMDINDEX","Command index. This bit is set to the command number (CMD0–63, ACMD0–63)."
"8:9 COMMAND_CMDTYPE","Command type. There are three types of special commands: suspend, resume and abort. These bits are set to 00b for all other commands. Suspend command: If the Suspend command succeeds, the HC assumes the eMMC Bus has been released and that it is possible to issue the next command which uses the DAT line. The HC de-asserts Read Wait for read transactions and stop checking busy for write transactions. The interrupt cycle starts, in 4-bit mode. If the Suspend command fails, the HC maintains its current state and the HD restarts the transfer by setting Continue request in the Block gap control register. Resume command: The HD re-starts the data transfer by restoring the registers in the range of 0x000–0x00D. The HC checks for busy before starting write transfers. Abort command: If this command is set when executing a read transfer, the HC stops Reads to the buffer. If this command is set when executing a write transfer, the HC stops driving the DAT line. After issuing the Abort command, the HD issues a software reset. 00 Normal, 01 Suspend, 10 Resume, 11 Abort"
