Field,Description
"14:15 CORECFG_MAXBLKLENGTH","Max block length. This value indicates the maximum block size that the HD can read and write to the buffer in the HC. The buffer transfers this block size without wait cycles. Three sizes can be defined as indicated below. 00 512 bytes, 01 1024 bytes, 10 2048 bytes, 11 4096 bytes. Note: max 512 B block size is supported."
"16:23 CORECFG_BASECLKFREQ","Base clock frequency of SDMMC_CLK. It's value is 8'b00110010 (50 MHz). 50 MHz is shown as reset value, but sdmmc_clk freq is 100 MHz. 50 MHz clk for SDMMC card and controller should be generated by software by dividing sdmmc_clk from 2. Note: Base clock frequency configuration is programmed in CORE_CONFIG.baseclkfreq_sdmmc_clk field."
"24 CORECFG_TIMEOUTCLKUNIT","Timeout clock unit. This bit shows the unit of base clock frequency used to detect data timeout error. 0 KHz, 1 MHz"
"26:31 CORECFG_TIMEOUTCLKFREQ","Timeout clock frequency. This bit shows the base clock frequency used to detect data timeout error. It's value is 6'b000001. Because timeout clock unit is 1 MHz, so timeout clock frequency is 1 MHz."
