Field,Description
5 SWRESET_FOR_DAT,"Software reset for DAT line. Only part of data circuit is reset. The following registers and bits are cleared by this bit: Buffer data port register: – Buffer is cleared and initialized. Present state register: – Buffer read enable – Buffer write enable – Read transfer active – Write transfer active – DAT line active – Command inhibit (DAT) Block gap control register: – Continue request – Stop at block gap request Normal interrupt status register: – Buffer read ready – Buffer write ready – Block gap event – Transfer complete 1 Reset 0 Work"
6 SWRESET_FOR_CMD,"Software reset for CMD line. Only part of command circuit is reset. The following registers and bits are cleared by this bit: Present state register: – Command inhibit (CMD) Normal interrupt status register: – Command complete 1 Reset 0 Work"
7 SWRESET_FOR_ALL,"Software reset for all. This reset affects the entire HC except for the card detection circuit. Register bits of type R, RW, RW1C, RWAC are cleared to 0. During its initialization, the HD set this bit to 1 to reset the HC. The HC reset this bit to 0 when Capabilities registers are valid and the HD can read them. Additional use of software reset for all may not affect the value of the Capabilities registers. If this bit is set to 1, the SDMMC card resets itself and must be re initialized by the HD. 1 Reset 0 Work"
